[freebase -> gkg: progress] 27150 done, 0 error
[freebase -> gkg: progress] 27200 done, 0 error
[freebase -> gkg: progress] 27250 done, 0 error
[freebase -> gkg: progress] 27300 done, 0 error
[freebase -> gkg: progress] 27350 done, 0 error
[freebase -> gkg: progress] 27400 done, 0 error
[freebase -> gkg: progress] 27450 done, 0 error
[freebase -> gkg: progress] 27500 done, 0 error
[freebase -> gkg: progress] 27550 done, 0 error
[freebase -> gkg: progress] 27600 done, 0 error
[freebase -> gkg: progress] 27650 done, 0 error
[freebase -> gkg: progress] 27700 done, 0 error
[freebase -> gkg: progress] 27750 done, 0 error
[freebase -> gkg: progress] 27800 done, 0 error
[freebase -> gkg: progress] 27850 done, 0 error
[freebase -> gkg: progress] 27900 done, 0 error
[freebase -> gkg: progress] 27950 done, 0 error
[freebase -> gkg: progress] 28000 done, 0 error
[freebase -> gkg: progress] 28050 done, 0 error
[freebase -> gkg: progress] 28100 done, 0 error
[freebase -> gkg: progress] 28150 done, 0 error
[freebase -> gkg: progress] 28200 done, 0 error
[freebase -> gkg: progress] 28250 done, 0 error
[freebase -> gkg: progress] 28300 done, 0 error
[freebase -> gkg: progress] 28350 done, 0 error
[freebase -> gkg: progress] 28400 done, 0 error
[freebase -> gkg: progress] 28450 done, 0 error
[freebase -> gkg: progress] 28500 done, 0 error
[freebase -> gkg: progress] 28550 done, 0 error
[freebase -> gkg: progress] 28600 done, 0 error
[freebase -> gkg: progress] 28650 done, 0 error
[freebase -> gkg: progress] 28700 done, 0 error
[freebase -> gkg: progress] 28750 done, 0 error
[freebase -> gkg: progress] 28800 done, 0 error
[freebase -> gkg: progress] 28850 done, 0 error
[freebase -> gkg: progress] 28900 done, 0 error
[freebase -> gkg: progress] 28950 done, 0 error
[freebase -> gkg: progress] 29000 done, 0 error
[freebase -> gkg: progress] 29050 done, 0 error
[freebase -> gkg: progress] 29100 done, 0 error
[freebase -> gkg: progress] 29150 done, 0 error
[freebase -> gkg: progress] 29200 done, 0 error
